"","ID","nstate"
"1",105,4
"2",106,5
"3",107,NA
"4",108,5
"5",109,2
"6",110,2
"7",111,5
"8",112,2
"9",113,3
"10",115,NA
"11",116,NA
"12",117,4
"13",118,2
"14",121,4
"15",122,3
"16",123,4
"17",124,3
"18",125,NA
"19",126,5
"20",127,NA
"21",128,5
"22",129,5
"23",130,3
"24",131,3
"25",132,NA
"26",133,NA
"27",134,NA
"28",135,3
"29",136,NA
"30",137,4
"31",138,NA
"32",139,4
"33",140,4
"34",141,3
"35",142,NA
"36",143,4
"37",145,4
"38",146,4
"39",147,NA
"40",148,3
"41",149,3
"42",150,5
"43",151,3
"44",152,NA
"45",153,NA
"46",154,5
"47",156,NA
"48",158,2
"49",159,NA
"50",160,5
"51",161,NA
"52",162,NA
"53",164,NA
"54",165,NA
"55",166,4
"56",167,NA
"57",168,NA
"58",169,NA
"59",170,NA
"60",172,4
"61",173,NA
"62",174,5
"63",175,NA
"64",176,4
"65",177,4
"66",180,4
"67",181,4
"68",183,2
"69",184,4
"70",186,NA
"71",187,3
"72",188,5
"73",189,NA
"74",190,NA
"75",191,4
"76",192,4
"77",193,5
"78",194,5
"79",195,5
"80",196,NA
"81",197,NA
"82",198,5
"83",200,5
"84",201,5
"85",202,4
"86",203,2
"87",204,3
"88",205,4
"89",206,NA
"90",207,4
"91",208,5
"92",209,4
"93",210,5
"94",212,2
"95",213,5
"96",214,5
"97",215,NA
"98",217,NA
"99",218,NA
"100",219,4
