"","ID","nstate"
"1",1,4
"2",2,NA
"3",3,2
"4",4,NA
"5",5,NA
"6",6,2
"7",7,3
"8",8,3
"9",9,2
"10",10,2
"11",11,2
"12",12,4
"13",13,NA
"14",14,4
"15",15,4
"16",16,3
"17",17,4
"18",18,3
"19",19,2
"20",20,2
"21",21,4
"22",22,NA
"23",23,NA
"24",24,4
"25",25,NA
"26",26,NA
"27",27,2
"28",28,2
"29",29,2
"30",30,2
"31",31,2
"32",32,NA
"33",33,2
"34",34,3
"35",35,2
"36",36,3
"37",37,3
"38",38,5
"39",39,NA
"40",40,3
"41",41,2
"42",42,NA
"43",43,3
"44",44,NA
"45",45,2
"46",46,3
"47",47,2
"48",48,NA
"49",49,3
"50",50,NA
"51",51,3
"52",52,4
"53",53,2
"54",54,2
"55",55,2
"56",56,3
"57",57,4
"58",58,3
"59",59,3
"60",60,3
"61",61,3
"62",62,5
"63",63,NA
"64",64,2
"65",65,4
"66",66,2
"67",67,NA
"68",68,NA
"69",69,NA
"70",70,2
