"","ID","nstate"
"1",10019,NA
"2",10474,NA
"3",11366,2
"4",11627,NA
"5",12396,NA
"6",12774,2
"7",14594,2
"8",14634,NA
"9",15593,2
"10",16681,NA
"11",16994,2
"12",17365,2
"13",17796,2
"14",19713,2
"15",20516,2
"16",22054,NA
"17",25373,2
"18",25891,2
"19",27832,NA
"20",32058,NA
"21",33716,NA
"22",34215,2
"23",35161,2
"24",38678,NA
"25",39482,NA
"26",39689,2
"27",41600,NA
"28",42916,NA
"29",44191,NA
"30",45878,NA
"31",46015,NA
"32",46075,2
"33",46236,2
"34",46753,2
"35",47699,2
"36",48628,NA
"37",49826,NA
"38",50668,2
"39",51899,NA
"40",54166,2
"41",56952,2
"42",57390,5
"43",58340,2
"44",58607,2
"45",59643,NA
"46",60230,2
"47",60512,2
"48",62352,2
"49",62367,NA
"50",64025,NA
"51",65399,NA
"52",65786,NA
"53",66510,2
"54",66938,4
"55",67734,NA
"56",67775,2
"57",69506,2
"58",70302,NA
"59",72281,NA
"60",72918,NA
"61",74060,2
"62",76241,2
"63",76660,NA
"64",77013,2
"65",77048,2
"66",77113,NA
"67",77227,NA
"68",78914,NA
"69",79564,2
"70",81844,NA
"71",83036,NA
"72",83737,2
"73",83792,NA
"74",84097,2
"75",84668,2
"76",85433,NA
"77",86122,2
"78",92649,5
"79",92654,2
"80",92919,NA
"81",92948,2
"82",94218,NA
"83",94549,NA
"84",95398,2
"85",97514,2
"86",99432,NA
