"","ID","2","3","4","5"
"1",150034,100,32,4,100
"2",150035,18,100,100,100
"3",150036,NA,NA,NA,NA
"4",150038,NA,NA,NA,NA
"5",150039,1,1,1,1
"6",150040,NA,NA,NA,NA
"7",150041,NA,NA,NA,NA
"8",150042,1,1,1,14
"9",150043,NA,NA,NA,NA
"10",150045,3,48,100,100
"11",150046,1,3,31,66
"12",150047,2,44,100,100
"13",150048,NA,NA,NA,NA
"14",150051,1,20,33,100
"15",150057,NA,NA,NA,NA
"16",150058,1,2,100,100
"17",150060,4,100,100,100
"18",150066,30,100,100,100
"19",150067,NA,NA,NA,NA
"20",150070,1,1,1,3
"21",150071,NA,NA,NA,NA
"22",150072,NA,NA,NA,NA
"23",150074,58,100,100,100
"24",150075,NA,NA,NA,NA
"25",150076,NA,NA,NA,NA
"26",150077,NA,NA,NA,NA
"27",150079,NA,NA,NA,NA
"28",150080,NA,NA,NA,NA
"29",150081,NA,NA,NA,NA
"30",150082,12,100,100,100
"31",150083,NA,NA,NA,NA
"32",150086,1,1,2,5
"33",150087,1,3,3,9
"34",150088,NA,NA,NA,NA
"35",150090,NA,NA,NA,NA
"36",150091,NA,NA,NA,NA
"37",150092,NA,NA,NA,NA
"38",150093,NA,NA,NA,NA
"39",150094,1,4,100,100
"40",150095,1,3,1,9
"41",150096,NA,NA,NA,NA
"42",150098,NA,NA,NA,NA
"43",150101,1,5,76,100
"44",150102,10,100,100,100
"45",150103,1,1,7,100
"46",150105,1,1,5,15
"47",150106,NA,NA,NA,NA
"48",150107,NA,NA,NA,NA
"49",150108,NA,NA,NA,NA
"50",150109,NA,NA,NA,NA
"51",150110,NA,NA,NA,NA
"52",150112,1,7,41,100
"53",150113,1,15,100,100
"54",150114,NA,NA,NA,NA
