"","ID","2","3","4","5"
"1",201,NA,NA,NA,NA
"2",202,17,100,100,100
"3",203,1,1,100,100
"4",204,1,1,3,1
"5",205,1,1,1,1
"6",206,NA,NA,NA,NA
"7",207,NA,NA,NA,NA
"8",208,1,3,28,100
"9",209,NA,NA,NA,NA
"10",210,5,1,7,100
"11",211,NA,NA,NA,NA
"12",212,NA,NA,NA,NA
"13",213,NA,NA,NA,NA
"14",214,NA,NA,NA,NA
"15",215,NA,NA,NA,NA
"16",217,1,1,2,12
"17",218,1,59,100,100
"18",219,NA,NA,NA,NA
"19",220,NA,NA,NA,NA
"20",221,NA,NA,NA,NA
"21",222,1,1,27,100
"22",223,NA,NA,NA,NA
"23",224,1,1,100,100
"24",225,NA,NA,NA,NA
"25",226,1,11,8,74
"26",227,1,1,3,8
"27",228,3,100,99,100
"28",229,NA,NA,NA,NA
"29",230,NA,NA,NA,NA
"30",231,1,10,100,100
"31",232,1,1,1,29
"32",233,NA,NA,NA,NA
"33",234,NA,NA,NA,NA
"34",235,23,100,100,100
"35",236,NA,NA,NA,NA
"36",237,12,7,100,100
"37",238,NA,NA,NA,NA
"38",239,NA,NA,NA,NA
"39",240,1,1,1,15
"40",241,NA,NA,NA,NA
"41",242,NA,NA,NA,NA
"42",243,NA,NA,NA,NA
"43",244,1,100,100,100
"44",245,1,1,3,2
"45",246,1,1,1,7
"46",247,NA,NA,NA,NA
"47",248,NA,NA,NA,NA
"48",249,31,100,100,100
"49",250,26,100,100,100
"50",251,1,2,1,9
"51",252,97,100,100,100
"52",253,1,40,100,100
"53",256,NA,NA,NA,NA
"54",257,NA,NA,NA,NA
"55",258,1,1,15,100
"56",259,NA,NA,NA,NA
"57",261,NA,NA,NA,NA
"58",262,NA,NA,NA,NA
"59",263,NA,NA,NA,NA
"60",264,NA,NA,NA,NA
"61",265,13,100,100,100
"62",266,NA,NA,NA,NA
"63",267,NA,NA,NA,NA
"64",268,NA,NA,NA,NA
"65",269,NA,NA,NA,NA
"66",270,NA,NA,NA,NA
"67",271,1,1,6,2
"68",272,1,3,2,69
"69",273,NA,NA,NA,NA
"70",274,1,1,1,3
"71",275,21,100,100,100
"72",276,15,1,47,100
"73",277,NA,NA,NA,NA
"74",278,NA,NA,NA,NA
"75",281,1,1,1,3
"76",282,33,100,100,100
"77",283,NA,NA,NA,NA
"78",284,17,100,100,100
"79",285,NA,NA,NA,NA
"80",286,1,100,100,100
"81",402,1,2,12,100
"82",404,100,4,17,51
"83",406,5,5,35,100
"84",408,NA,NA,NA,NA
"85",410,1,1,6,9
"86",412,2,1,11,100
"87",414,1,2,20,100
"88",416,1,6,2,11
"89",418,NA,NA,NA,NA
"90",420,11,100,100,100
"91",422,1,5,7,100
"92",424,2,5,100,100
"93",426,3,100,100,100
"94",428,1,1,2,6
"95",430,NA,NA,NA,NA
"96",434,NA,NA,NA,NA
"97",436,1,21,100,100
"98",438,NA,NA,NA,NA
"99",440,NA,NA,NA,NA
"100",442,NA,NA,NA,NA
"101",444,1,1,3,1
"102",446,1,1,4,2
"103",448,1,2,15,100
"104",450,NA,NA,NA,NA
"105",452,1,1,7,41
"106",454,42,100,100,100
"107",456,NA,NA,NA,NA
"108",458,NA,NA,NA,NA
"109",460,NA,NA,NA,NA
"110",462,39,100,100,100
"111",464,3,8,6,100
"112",466,NA,NA,NA,NA
"113",468,2,4,9,100
"114",470,1,1,47,100
"115",472,NA,NA,NA,NA
"116",474,2,1,2,8
"117",476,2,100,100,100
"118",478,4,100,100,100
"119",480,NA,NA,NA,NA
"120",482,NA,NA,NA,NA
"121",484,3,100,100,100
"122",486,NA,NA,NA,NA
"123",488,NA,NA,NA,NA
"124",490,NA,NA,NA,NA
"125",492,17,100,100,100
"126",494,2,11,2,100
"127",496,NA,NA,NA,NA
"128",498,1,1,4,38
"129",500,NA,NA,NA,NA
"130",502,1,1,2,58
"131",504,1,1,2,6
"132",506,4,100,100,100
"133",512,1,4,32,100
"134",514,NA,NA,NA,NA
"135",516,1,1,100,100
"136",518,NA,NA,NA,NA
"137",522,1,1,7,17
"138",524,NA,NA,NA,NA
"139",526,1,1,14,13
"140",528,NA,NA,NA,NA
"141",530,1,1,3,5
"142",532,3,4,16,43
"143",534,NA,NA,NA,NA
"144",536,NA,NA,NA,NA
"145",538,NA,NA,NA,NA
"146",540,8,8,100,100
"147",542,NA,NA,NA,NA
"148",544,1,1,4,3
"149",546,NA,NA,NA,NA
"150",548,2,100,100,100
"151",550,NA,NA,NA,NA
"152",552,2,35,100,100
"153",554,2,100,100,100
"154",556,NA,NA,NA,NA
"155",562,1,3,10,19
"156",564,NA,NA,NA,NA
"157",566,4,7,100,100
"158",568,1,1,2,1
"159",570,2,1,12,37
"160",572,2,6,100,100
