"","ID","2","3","4","5"
"1",701,NA,NA,NA,NA
"2",703,NA,NA,NA,NA
"3",705,1,5,100,100
"4",708,NA,NA,NA,NA
"5",710,40,100,100,100
"6",712,1,5,13,100
"7",713,3,100,100,100
"8",714,NA,NA,NA,NA
"9",716,1,1,5,100
"10",717,NA,NA,NA,NA
"11",720,4,3,15,100
"12",723,NA,NA,NA,NA
"13",724,NA,NA,NA,NA
"14",728,NA,NA,NA,NA
"15",731,NA,NA,NA,NA
"16",732,61,100,100,100
"17",733,1,3,82,100
"18",734,2,22,100,100
"19",735,NA,NA,NA,NA
"20",740,NA,NA,NA,NA
"21",741,NA,NA,NA,NA
"22",745,46,100,100,100
"23",746,NA,NA,NA,NA
"24",747,NA,NA,NA,NA
"25",753,1,1,29,100
"26",755,NA,NA,NA,NA
"27",758,25,100,100,100
"28",759,NA,NA,NA,NA
"29",761,NA,NA,NA,NA
"30",763,9,100,100,100
"31",764,NA,NA,NA,NA
"32",765,16,100,100,100
"33",767,1,100,100,100
"34",770,1,3,5,69
"35",772,NA,NA,NA,NA
"36",773,4,100,100,100
"37",774,NA,NA,NA,NA
"38",777,NA,NA,NA,NA
"39",778,4,29,100,100
"40",779,NA,NA,NA,NA
"41",780,1,1,23,100
"42",783,1,2,2,100
"43",785,NA,NA,NA,NA
"44",786,1,1,2,93
"45",788,NA,NA,NA,NA
"46",789,NA,NA,NA,NA
"47",790,1,1,55,100
"48",791,NA,NA,NA,NA
"49",794,25,100,100,100
"50",795,1,2,11,100
"51",796,NA,NA,NA,NA
"52",798,NA,NA,NA,NA
"53",800,5,6,100,100
"54",803,NA,NA,NA,NA
"55",805,NA,NA,NA,NA
"56",808,NA,NA,NA,NA
"57",809,1,100,100,100
"58",812,1,100,100,100
"59",813,NA,NA,NA,NA
"60",815,NA,NA,NA,NA
"61",816,3,80,100,100
"62",1402,2,47,100,100
"63",1406,NA,NA,NA,NA
"64",1410,1,10,37,100
"65",1416,NA,NA,NA,NA
"66",1420,NA,NA,NA,NA
"67",1424,2,3,4,100
"68",1426,1,1,11,100
"69",1428,NA,NA,NA,NA
"70",1432,1,30,100,100
"71",1434,57,100,100,100
"72",1440,1,13,100,100
"73",1446,1,100,100,100
"74",1448,NA,NA,NA,NA
"75",1456,NA,NA,NA,NA
"76",1462,1,2,3,7
"77",1464,NA,NA,NA,NA
"78",1466,7,34,100,100
"79",1468,83,100,100,100
"80",1470,NA,NA,NA,NA
"81",1480,NA,NA,NA,NA
"82",1482,1,100,100,100
"83",1492,NA,NA,NA,NA
"84",1494,1,4,29,100
"85",1506,NA,NA,NA,NA
"86",1510,1,100,100,100
"87",1518,NA,NA,NA,NA
"88",1522,NA,NA,NA,NA
"89",1528,9,100,100,100
"90",1530,NA,NA,NA,NA
"91",1534,1,1,2,76
"92",1540,1,4,8,63
"93",1546,1,79,100,100
"94",1548,NA,NA,NA,NA
"95",1554,3,100,100,100
"96",1556,NA,NA,NA,NA
"97",1560,NA,NA,NA,NA
"98",1572,1,4,13,100
"99",1576,NA,NA,NA,NA
"100",1578,14,100,100,100
"101",1582,4,100,100,100
"102",1590,1,1,34,76
"103",1592,NA,NA,NA,NA
"104",1596,1,63,100,100
"105",1600,NA,NA,NA,NA
"106",1606,3,2,100,100
"107",1610,1,1,100,100
"108",1616,NA,NA,NA,NA
"109",1624,1,3,100,100
"110",1626,1,3,17,44
"111",1630,NA,NA,NA,NA
"112",1632,4,100,100,100
