"","ID","2","3","4","5"
"1",100,18,100,100,100
"2",101,1,1,1,1
"3",102,1,1,1,1
"4",103,3,100,100,100
"5",105,1,1,1,1
"6",106,1,1,2,1
"7",108,1,1,1,1
"8",109,1,1,1,2
"9",110,1,1,3,51
"10",111,1,1,1,1
"11",112,NA,NA,NA,NA
"12",113,1,1,1,1
"13",114,1,1,1,1
"14",115,1,1,2,1
"15",116,1,5,12,72
"16",117,1,13,100,100
"17",118,1,2,8,1
"18",119,1,1,1,1
"19",120,1,1,1,1
"20",121,1,1,3,5
"21",122,1,1,1,1
"22",123,1,1,1,1
"23",124,1,2,5,18
"24",125,1,1,1,1
"25",126,2,64,41,100
"26",127,1,1,2,1
"27",128,3,100,100,99
"28",129,1,1,1,1
"29",130,1,1,1,2
"30",131,1,13,55,100
"31",132,1,1,1,1
"32",133,1,1,2,14
"33",135,1,1,1,1
"34",136,1,2,88,95
"35",138,1,1,1,1
"36",139,1,1,1,1
"37",140,1,1,37,95
"38",141,1,2,5,6
"39",142,1,1,1,1
"40",180,1,1,3,1
"41",200,1,1,1,3
"42",201,NA,NA,NA,NA
"43",202,1,1,1,2
"44",203,1,1,2,3
"45",204,1,3,3,2
"46",205,1,1,1,1
"47",206,1,1,1,2
"48",207,4,100,100,100
"49",208,1,1,1,1
"50",209,1,1,40,100
"51",210,1,1,66,100
"52",211,1,1,2,1
"53",212,NA,NA,NA,NA
"54",213,NA,NA,NA,NA
"55",214,14,100,100,100
"56",215,1,1,2,1
"57",216,1,4,4,2
"58",217,1,1,1,1
"59",218,1,1,1,4
"60",219,1,1,1,1
"61",220,1,1,1,5
"62",221,1,1,1,1
"63",222,1,1,1,1
"64",223,1,1,1,1
"65",224,1,7,14,100
"66",225,1,2,1,2
"67",226,NA,NA,NA,NA
"68",227,NA,NA,NA,NA
"69",228,1,1,1,1
"70",229,1,1,1,2
"71",230,1,1,1,1
"72",231,1,1,1,3
"73",232,1,1,1,1
"74",233,1,2,1,1
"75",234,1,1,1,1
"76",235,NA,NA,NA,NA
"77",236,1,1,1,1
"78",237,1,1,1,1
"79",238,1,1,1,1
"80",240,1,1,3,1
"81",242,1,1,1,1
"82",243,1,1,1,1
"83",244,1,1,1,1
"84",245,1,1,13,9
"85",246,1,1,1,3
"86",247,1,1,1,1
"87",248,1,1,1,3
"88",249,1,1,1,2
"89",250,1,1,1,1
"90",251,1,1,1,1
"91",252,1,1,1,2
"92",253,1,1,1,1
"93",254,1,1,2,1
"94",255,1,1,1,1
"95",256,1,4,3,2
"96",257,1,1,1,1
"97",258,1,1,1,1
"98",259,1,3,5,14
"99",260,1,1,1,1
"100",261,1,1,1,2
"101",263,1,1,1,3
