"","ID","2","3","4","5"
"1",3,NA,NA,NA,NA
"2",5,NA,NA,NA,NA
"3",6,NA,NA,NA,NA
"4",7,87,100,100,100
"5",9,NA,NA,NA,NA
"6",10,NA,NA,NA,NA
"7",11,NA,NA,NA,NA
"8",12,NA,NA,NA,NA
"9",13,NA,NA,NA,NA
"10",14,NA,NA,NA,NA
"11",17,10,100,100,100
"12",18,NA,NA,NA,NA
"13",20,NA,NA,NA,NA
"14",21,NA,NA,NA,NA
"15",22,NA,NA,NA,NA
"16",24,NA,NA,NA,NA
"17",25,NA,NA,NA,NA
"18",26,NA,NA,NA,NA
"19",27,NA,NA,NA,NA
"20",28,NA,NA,NA,NA
"21",29,NA,NA,NA,NA
"22",30,NA,NA,NA,NA
"23",31,NA,NA,NA,NA
"24",32,NA,NA,NA,NA
"25",33,NA,NA,NA,NA
"26",34,NA,NA,NA,NA
"27",36,NA,NA,NA,NA
"28",37,99,100,100,100
"29",38,NA,NA,NA,NA
"30",39,1,100,100,100
"31",40,NA,NA,NA,NA
"32",41,5,100,100,100
"33",42,NA,NA,NA,NA
"34",43,NA,NA,NA,NA
"35",44,NA,NA,NA,NA
"36",45,NA,NA,NA,NA
"37",46,NA,NA,NA,NA
"38",47,NA,NA,NA,NA
"39",48,10,100,100,100
"40",49,NA,NA,NA,NA
"41",50,1,6,30,100
"42",51,NA,NA,NA,NA
"43",53,NA,NA,NA,NA
"44",54,NA,NA,NA,NA
"45",55,NA,NA,NA,NA
"46",56,NA,NA,NA,NA
"47",57,NA,NA,NA,NA
"48",58,NA,NA,NA,NA
"49",60,NA,NA,NA,NA
"50",62,NA,NA,NA,NA
"51",63,NA,NA,NA,NA
"52",64,NA,NA,NA,NA
"53",65,NA,NA,NA,NA
"54",66,NA,NA,NA,NA
"55",67,NA,NA,NA,NA
"56",68,NA,NA,NA,NA
"57",69,NA,NA,NA,NA
"58",70,NA,NA,NA,NA
"59",71,NA,NA,NA,NA
"60",72,NA,NA,NA,NA
"61",73,NA,NA,NA,NA
"62",74,NA,NA,NA,NA
"63",76,NA,NA,NA,NA
